City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vardo,NO,70.3705,31.1107,23.2,61,73,9.98,light snow
80,Komsomolskiy,UZ,40.4272,71.7189,43.52,52,0,6.91,clear sky
81,Batsfjord,NO,70.6345,29.7185,23.22,80,21,6.76,few clouds
82,Ancud,CL,-41.8697,-73.8203,53.42,89,100,18.54,light rain
83,Baykit,RU,61.67,96.37,34.16,83,95,11.74,light rain
84,Scarborough,GB,54.2797,-0.4044,52.92,89,14,1.99,few clouds
85,Arlit,NE,18.7369,7.3853,78.35,14,0,0.69,clear sky
86,Leh,IN,34.1667,77.5833,28.94,79,82,4.47,broken clouds
87,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,3.44,clear sky
88,Yar-Sale,RU,66.8333,70.8333,21.65,82,32,12.28,scattered clouds
89,Camacha,PT,33.0833,-16.3333,65.62,64,40,12.66,scattered clouds
90,Concepcion,CL,-36.827,-73.0498,55.2,88,0,10.36,clear sky
91,Yebaishou,CN,41.3975,119.6408,59.41,35,61,6.15,broken clouds
92,Daru,PG,-9.0763,143.2092,84.7,72,93,11.05,overcast clouds
93,Toul,FR,48.6667,5.9167,45.52,87,0,5.75,mist
94,Aquiraz,BR,-3.9014,-38.3911,81.18,79,13,11.9,few clouds
95,Salisbury,GB,51.0693,-1.7957,54.52,97,75,4.61,fog
96,Hithadhoo,MV,-0.6,73.0833,82.94,71,18,13.11,few clouds
97,Khalkhal,IR,37.6189,48.5258,43.61,60,0,3.44,clear sky
98,Lebu,CL,-37.6167,-73.65,52.12,95,75,4.36,broken clouds
99,Novyy Urengoy,RU,66.0833,76.6333,22.42,89,69,15.64,broken clouds
100,Fortuna,US,40.5982,-124.1573,55.92,68,75,4.0,broken clouds
101,East London,ZA,-33.0153,27.9116,57.65,76,3,9.01,clear sky
102,Yumen,CN,40.2833,97.2,48.18,31,100,16.78,overcast clouds
103,Lata,PT,40.1629,-8.3327,58.82,80,4,2.86,clear sky
104,Martapura,ID,-3.4167,114.85,87.89,70,40,5.75,scattered clouds
105,Lunglei,IN,22.8833,92.7333,73.49,59,48,0.34,scattered clouds
106,Busselton,AU,-33.65,115.3333,62.04,62,80,10.22,broken clouds
107,Jamestown,US,42.097,-79.2353,52.92,99,90,4.0,mist
108,Dalnegorsk,RU,44.5604,135.5701,58.6,33,0,3.94,clear sky
109,Mount Gambier,AU,-37.8333,140.7667,57.11,54,90,9.22,overcast clouds
110,Mehamn,NO,71.0357,27.8492,26.78,82,39,8.95,scattered clouds
111,Ponta Do Sol,PT,32.6667,-17.1,68.72,61,58,8.16,broken clouds
112,Portland,US,45.5234,-122.6762,56.89,70,75,4.0,broken clouds
113,Mattru,SL,7.6244,-11.8332,73.63,98,100,2.46,light rain
114,Rumia,PL,54.5709,18.388,41.9,86,25,10.8,scattered clouds
115,Caravelas,BR,-17.7125,-39.2481,76.71,90,100,7.96,overcast clouds
116,Iqaluit,CA,63.7506,-68.5145,29.93,92,90,1.99,light snow
117,Matamoros,MX,25.5333,-103.25,78.91,33,1,0.0,clear sky
118,Leningradskiy,RU,69.3833,178.4167,2.21,93,90,7.23,overcast clouds
119,Usinsk,RU,65.9939,57.5281,16.79,98,100,6.38,overcast clouds
120,Gejiu,CN,23.306,103.1635,53.8,82,89,4.63,overcast clouds
121,Maceio,BR,-9.6658,-35.7353,76.44,100,0,3.44,clear sky
122,Tessalit,ML,20.1986,1.0114,81.84,23,65,11.61,broken clouds
123,Minab,IR,27.1467,57.0801,78.3,68,1,3.69,clear sky
124,Trofors,NO,65.5333,13.4063,47.55,100,100,9.1,overcast clouds
125,Isangel,VU,-19.55,169.2667,82.51,69,75,6.91,broken clouds
126,Butaritari,KI,3.0707,172.7902,82.06,71,4,2.71,clear sky
127,Ahuimanu,US,21.4447,-157.8378,83.91,65,75,14.97,broken clouds
128,Gushikawa,JP,26.3544,127.8686,80.19,69,20,12.66,light intensity drizzle
129,Tazovskiy,RU,67.4667,78.7,21.85,90,99,19.19,overcast clouds
130,Ushibuka,JP,32.1906,130.0228,63.16,73,99,12.08,light rain
131,San Quintin,MX,30.4833,-115.95,61.45,83,18,12.12,few clouds
132,Boa Vista,BR,2.8197,-60.6733,84.18,70,40,8.05,scattered clouds
133,Atuona,PF,-9.8,-139.0333,78.13,73,6,18.45,clear sky
134,Vanderhoof,CA,54.0166,-124.0198,44.42,71,100,5.28,light rain
135,Touros,BR,-5.1989,-35.4608,79.7,72,1,13.91,clear sky
136,Chaman,PK,30.9236,66.4512,57.18,22,0,5.14,clear sky
137,Mataura,NZ,-46.1927,168.8643,71.17,54,94,5.39,overcast clouds
138,Launceston,AU,-41.45,147.1667,59.81,63,90,8.99,overcast clouds
139,Sorland,NO,67.667,12.6934,48.36,96,100,5.73,overcast clouds
140,Botou,CN,38.0667,116.5667,63.37,47,97,11.99,overcast clouds
141,Jalu,LY,29.0331,21.5482,70.36,39,37,13.06,scattered clouds
142,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,58.89,69,0,4.16,clear sky
143,Kutum,SD,14.2,24.6667,70.92,29,7,9.78,clear sky
144,Tulagi,SB,-9.0996,160.1476,83.23,74,92,11.7,overcast clouds
145,Esperance,AU,-33.8667,121.9,84.04,38,100,15.5,overcast clouds
146,Mahebourg,MU,-20.4081,57.7,76.24,83,40,11.5,scattered clouds
147,Nedjo,ET,9.5046,35.5019,57.04,72,41,2.26,scattered clouds
148,Margate,GB,51.3813,1.3862,57.31,90,87,1.99,overcast clouds
149,Navoi,UZ,40.0844,65.3792,44.08,53,0,6.91,clear sky
150,Hambantota,LK,6.1241,81.1185,80.94,94,75,0.0,broken clouds
151,Chuy,UY,-33.6971,-53.4616,57.02,65,0,11.92,clear sky
152,Matagami,CA,49.7502,-77.6328,32.11,100,1,5.75,clear sky
153,Buala,SB,-8.145,159.5921,85.03,69,78,0.89,light rain
154,Vengerovo,RU,55.6848,76.7471,45.95,52,100,17.36,overcast clouds
155,Kyra,RU,49.5776,111.9753,42.94,47,53,8.66,broken clouds
156,Ketchikan,US,55.3422,-131.6461,46.87,71,1,3.44,clear sky
157,Uige,AO,-7.6087,15.0613,66.83,98,81,2.08,broken clouds
158,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,11.5,light snow
159,Hasaki,JP,35.7333,140.8333,66.6,51,50,10.27,scattered clouds
160,The Valley,AI,18.217,-63.0578,82.26,74,41,16.44,scattered clouds
161,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.82,91,100,20.27,overcast clouds
162,Les Cayes,HT,18.2,-73.75,78.13,82,67,4.0,broken clouds
163,Date,JP,42.4681,140.8681,56.52,62,0,1.25,clear sky
164,Lipin Bor,RU,60.2622,37.9763,29.05,74,69,8.72,broken clouds
165,Necochea,AR,-38.5473,-58.7368,61.03,46,32,19.6,scattered clouds
166,Malumfashi,NG,11.7853,7.6218,73.51,27,76,5.39,broken clouds
167,Dingle,PH,10.9995,122.6711,86.16,72,70,2.57,broken clouds
168,Ouango,CF,4.3133,22.5552,69.51,99,100,1.59,overcast clouds
169,Pyu,MM,18.4833,96.4333,82.33,76,48,2.84,scattered clouds
170,Hamilton,US,39.1834,-84.5333,70.57,79,1,3.0,clear sky
171,Georgetown,MY,5.4112,100.3354,84.13,87,20,1.99,few clouds
172,Upernavik,GL,72.7868,-56.1549,14.67,69,0,5.88,clear sky
173,Maragogi,BR,-9.0122,-35.2225,75.85,82,15,6.87,few clouds
174,Cherskiy,RU,68.75,161.3,-8.91,95,44,2.98,scattered clouds
175,Krasnoselkup,RU,65.7,82.4667,22.69,92,99,18.95,overcast clouds
176,Iwanai,JP,42.9744,140.5089,59.85,55,2,7.96,clear sky
177,Sovetsk,RU,55.0839,21.8785,36.12,94,24,8.03,few clouds
178,Qaqortoq,GL,60.7167,-46.0333,30.7,47,1,6.93,clear sky
179,Marawi,PH,7.9986,124.2928,76.64,54,15,2.66,few clouds
180,Lasa,IT,46.6166,10.7002,54.86,26,97,1.83,overcast clouds
181,Vancouver,CA,49.2497,-123.1193,54.18,75,90,3.0,overcast clouds
182,Sumter,US,28.7086,-82.0831,75.97,88,100,6.22,overcast clouds
183,Norman Wells,CA,65.282,-126.8329,23.04,93,90,4.61,overcast clouds
184,Podgornoye,RU,51.735,39.1496,28.62,86,0,8.95,clear sky
185,Mar Del Plata,AR,-38.0023,-57.5575,63.09,61,0,5.99,clear sky
186,Kidal,ML,18.4411,1.4078,89.31,21,87,7.92,overcast clouds
187,Newport,GB,51.5877,-2.9984,55.94,92,79,15.77,broken clouds
188,Saskylakh,RU,71.9167,114.0833,-15.9,100,53,2.82,broken clouds
189,Biggar,GB,55.6167,-3.5167,49.91,85,76,14.88,broken clouds
190,Huangchuan,CN,32.1272,115.0394,63.34,58,100,4.7,overcast clouds
191,Herouville-Saint-Clair,FR,49.2109,-0.3065,56.39,93,75,6.91,broken clouds
192,Villablino,ES,42.9393,-6.3194,49.19,93,36,1.66,scattered clouds
193,Turbat,PK,26.0023,63.044,74.89,34,0,3.49,clear sky
194,Brae,GB,60.3964,-1.353,51.71,84,99,16.31,overcast clouds
195,Sioux Lookout,CA,50.1001,-91.917,34.18,86,1,2.3,clear sky
196,Gravdal,NO,68.1214,13.5031,40.23,93,100,13.82,overcast clouds
197,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.28,92,53,0.4,broken clouds
198,Batagay-Alyta,RU,67.8006,130.4114,11.3,83,98,1.79,overcast clouds
199,Den Helder,NL,52.9599,4.7593,51.98,88,90,8.01,overcast clouds
200,Padang,ID,-0.9492,100.3543,80.65,84,100,2.51,overcast clouds
201,Ilulissat,GL,69.2167,-51.1,-1.86,74,57,7.23,broken clouds
202,Galle,LK,6.0367,80.217,81.75,78,94,6.78,overcast clouds
203,Benjamin Hill,MX,30.1667,-111.1,71.26,46,0,5.91,clear sky
204,Kudahuvadhoo,MV,2.6708,72.8944,83.01,73,96,13.98,overcast clouds
205,Butembo,CD,0.15,29.2833,55.67,96,100,2.57,overcast clouds
206,Rawson,AR,-43.3002,-65.1023,70.09,24,100,40.29,overcast clouds
207,Kruisfontein,ZA,-34.0033,24.7314,46.89,83,0,3.51,clear sky
208,Cabo San Lucas,MX,22.8909,-109.9124,81.52,71,25,1.01,scattered clouds
209,Talnakh,RU,69.4865,88.3972,26.58,97,100,8.86,snow
210,Zhigansk,RU,66.7697,123.3711,23.77,91,98,4.43,overcast clouds
211,Diffa,NE,13.3154,12.6113,82.94,26,98,8.88,overcast clouds
212,Reynosa,MX,26.0833,-98.2833,81.99,79,1,11.5,clear sky
213,Coruripe,BR,-10.1256,-36.1756,76.14,82,34,10.76,scattered clouds
214,Nome,US,64.5011,-165.4064,30.27,93,90,12.66,light snow
