City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Rawson,AR,70.09,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
208,Cabo San Lucas,MX,81.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
211,Diffa,NE,82.94,overcast clouds,13.3154,12.6113,ProDAF/Diffa
212,Reynosa,MX,81.99,clear sky,26.0833,-98.2833,"Holiday Inn Reynosa Zona Dorada, an IHG Hotel"
213,Coruripe,BR,76.14,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
216,Garut,ID,80.58,broken clouds,-7.2024,107.8878,favehotel
222,Vila Do Maio,CV,77.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
223,Quatre Cocos,MU,76.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
224,Mecca,SA,77.31,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
225,Kota Bahru,MY,84.15,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
227,Sao Filipe,CV,77.5,broken clouds,14.8961,-24.4956,Hotel Xaguate
229,Jaora,IN,73.99,clear sky,23.6333,75.1333,Hotel celebration
230,Conceicao Do Araguaia,BR,78.46,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
231,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
234,Sabha,LY,72.57,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
237,Flinders,AU,71.8,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
243,Davila,PH,85.98,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
244,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
245,Matara,LK,82.35,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
248,Havelock,US,73.92,overcast clouds,34.8791,-76.9013,Sherwood Motel
251,Moa,CU,79.25,broken clouds,20.6569,-74.9403,Carmen
252,Pumiao,CN,70.2,light rain,22.75,108.4833,Mushang Boutique Hotel
253,Palembang,ID,86.09,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
256,Russell,US,70.88,overcast clouds,32.3502,-85.1999,Macs
257,Victoria,HK,75.04,overcast clouds,22.2855,114.1577,Mini Hotel Central
259,Cayenne,GF,78.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
260,Srivardhan,IN,76.89,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
261,Akyab,MM,80.67,scattered clouds,20.15,92.9,Hotel Memory
263,Gigmoto,PH,84.22,overcast clouds,13.7796,124.39,Cj's Travellers Inn
268,Madang,PG,86.34,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
270,Manokwari,ID,83.07,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
275,Tamale,GH,75.7,scattered clouds,9.4008,-0.8393,Tap Hotel
276,Hobyo,SO,80.2,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
286,Tezu,IN,77.16,broken clouds,27.9167,96.1667,Circuit House
289,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
291,Antalaha,MG,74.57,light rain,-14.9003,50.2788,Hotel Vitasoa
293,Barstow,US,72.3,overcast clouds,34.8986,-117.0228,"Motel 6 Barstow, CA"
295,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
297,Vao,NC,70.9,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
302,Natchitoches,US,75.88,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
303,Totness,SR,77.56,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
304,Marsa Matruh,EG,70.0,few clouds,31.3525,27.2453,Beau Site
